Persons,Encodings
Jackie Chan,"[-0.09382541  0.03073776  0.06115437  0.02006713  0.00157091 -0.03459632
 -0.02575206 -0.112887    0.13377613 -0.06814084  0.20266688 -0.03160055
 -0.11465591 -0.0782664  -0.02798632  0.10108041 -0.12197316 -0.08726692
 -0.11040173 -0.05838557 -0.01159413  0.0543011   0.00952858 -0.02160678
 -0.10952612 -0.28385383 -0.10548587 -0.08424755  0.09768495  0.02238996
 -0.03608269  0.00848023 -0.22133052 -0.12009479  0.08739158  0.09828416
 -0.04293601 -0.05911782  0.15996318  0.03743336 -0.19875358  0.06160089
 -0.00533523  0.2794534   0.23163958  0.03060813 -0.03846161 -0.12525527
  0.12279502 -0.13849141  0.08710682  0.12567899  0.12739836  0.08951966
  0.04551288 -0.08653988  0.02936071  0.14975359 -0.12920804 -0.01108126
  0.05699245 -0.05527971  0.02457907 -0.08748568  0.14389345  0.08181528
 -0.09045108 -0.18408534  0.11549931 -0.1430046  -0.06728171  0.06186421
 -0.09726554 -0.12997015 -0.34540722  0.02498594  0.39420453  0.14605643
 -0.20984884  0.02799151 -0.08401344  0.00785994  0.12090846  0.12666221
 -0.04230323  0.03699447 -0.01156553 -0.07676165  0.19912922  0.01998759
 -0.12077261  0.14604123 -0.07259724  0.00679897  0.05186263 -0.01930005
 -0.09256291 -0.01687    -0.12761238 -0.11282454  0.03379484 -0.0209659
  0.03602672  0.15368912 -0.21475697  0.2177062   0.00613243  0.05564861
  0.08967185 -0.01015337 -0.03262294  0.03434433  0.15250391 -0.24677506
  0.22667295  0.1308172   0.03925391  0.13926893  0.13238503  0.04675867
 -0.06623291  0.05041004 -0.19798161 -0.08113825  0.02706304  0.00360304
  0.14598703  0.02304015]"
Morgan Freeman,"[-1.27530262e-01  9.72483680e-02  1.07783645e-01  1.73088275e-02
 -3.28906216e-02 -1.37488008e-01  6.58503473e-02 -1.55722484e-01
  1.26683369e-01 -7.93252364e-02  2.63324648e-01 -2.95186304e-02
 -1.03124574e-01 -1.53743029e-01  8.48800316e-02  1.46059275e-01
 -1.28094956e-01 -1.50198653e-01 -1.45639256e-01 -1.06654473e-01
 -6.32008165e-02  3.41610610e-02  1.80414096e-02  4.43035215e-02
  7.24544749e-04 -2.78196365e-01 -1.11812979e-01 -1.05251648e-01
  1.40462279e-01 -6.92840964e-02  1.64026022e-02 -3.56075354e-02
 -2.22952425e-01 -6.93294331e-02 -1.32572725e-02  5.57270907e-02
  2.01720595e-02 -6.40003532e-02  1.55726776e-01  8.72649904e-03
 -1.67789221e-01  8.77286121e-02  2.10689940e-02  2.06477851e-01
  1.95235118e-01 -6.75058737e-02 -5.17747924e-02 -3.78853641e-02
  3.37413475e-02 -1.80889860e-01  3.80339772e-02  1.18830003e-01
  1.44064948e-01  5.92623651e-02 -5.90574555e-03 -4.92922440e-02
 -2.65398659e-02  7.69155100e-02 -1.60422876e-01  3.90333757e-02
  8.18515047e-02 -8.25805143e-02 -8.28160942e-02  2.91293170e-02
  1.37997970e-01  1.33364767e-01 -3.68842408e-02 -1.49243742e-01
  9.18540508e-02 -1.94363594e-01 -3.17271873e-02  6.41954392e-02
 -9.04573053e-02 -9.03366357e-02 -1.88424364e-01  1.31633803e-01
  4.20898050e-01  9.07160044e-02 -2.18950495e-01  1.88289396e-03
 -2.01758072e-01  2.65388750e-04  1.14110950e-02  1.43432561e-02
 -2.67192163e-02 -6.52380437e-02 -1.32570505e-01  1.12245390e-02
  1.49070531e-01 -3.40067931e-02  3.80950458e-02  2.50070035e-01
  3.08995601e-03  1.74105726e-02 -4.95419744e-03 -4.99854162e-02
 -9.66222771e-03 -3.84186208e-02 -4.93309870e-02 -1.18494026e-01
  3.78435552e-02 -6.66842386e-02  1.31583866e-02  6.09167889e-02
 -2.13508084e-01  1.25483826e-01  5.50945066e-02 -9.81789175e-03
  1.24322735e-01  1.25793666e-01  3.40355746e-02 -1.37930423e-01
  1.16058163e-01 -1.38841212e-01  2.29350150e-01  1.96269080e-01
 -4.17897366e-02  1.07566863e-01  3.27777583e-03  1.63025409e-01
 -4.46854793e-02 -1.66335404e-02 -2.14937702e-02 -2.12697871e-02
 -1.66236125e-02  3.04664988e-02 -2.01876573e-02  3.41735445e-02]"
will Smith,"[-0.15040556  0.1372797   0.06464443  0.02948764 -0.02598222 -0.09434658
  0.07994928 -0.102106    0.15916242  0.01835567  0.290874   -0.06021056
 -0.19391434 -0.12807679 -0.01519549  0.16707459 -0.08905581 -0.11707667
 -0.01310813 -0.12971109  0.00144579  0.04891185 -0.01911928  0.09535202
 -0.02004473 -0.36110374 -0.1326914  -0.13184813  0.07449037 -0.08865432
  0.07446703  0.12454108 -0.08643322 -0.07299323  0.0390455  -0.007987
  0.07186191 -0.02733332  0.17524448  0.05474843 -0.06309081 -0.09927047
  0.02875553  0.39115673  0.18852736  0.03691008  0.0372203   0.02051666
  0.06144702 -0.16565517 -0.01944856  0.05517425  0.10717981  0.03219765
  0.02258904 -0.14729144 -0.04363595  0.05596165 -0.27413744  0.04468232
 -0.02609951 -0.08615124 -0.09595554 -0.02241572  0.32174826  0.13130543
 -0.13990313 -0.11371819  0.1928321  -0.19127543 -0.03426566  0.02507249
 -0.14101498 -0.07945399 -0.26494867  0.06824544  0.42598659  0.05246896
 -0.20435233  0.02339646 -0.10763081  0.02787643  0.04362033  0.05936522
 -0.08730405 -0.02564677 -0.11622049 -0.10458979  0.13762523  0.04200334
 -0.11514719  0.21236089 -0.09139035  0.03347493  0.05719028  0.02419144
 -0.03870933 -0.03581748 -0.05076993 -0.098225    0.00059952 -0.09106909
  0.01569591  0.09246302 -0.21022348  0.16005437  0.01879551  0.09815389
 -0.02031736  0.05614964 -0.08175419 -0.00887429  0.18252295 -0.25761342
  0.1797751   0.12713107 -0.03844579  0.16439116 -0.00491331  0.0782567
 -0.04942689 -0.05302767 -0.05608989 -0.04576935  0.03289934 -0.07249171
  0.04311687  0.02054464]"
habib,"[-2.49317199e-01  1.47321448e-01  7.97644705e-02  1.14601944e-03
 -9.03975368e-02  6.34907708e-02 -1.10450573e-02 -3.37962992e-04
  5.10290749e-02  5.20208627e-02  1.85516477e-01  1.08721368e-02
 -2.54183173e-01 -6.34624362e-02 -1.06474839e-01  1.35839030e-01
 -1.90846831e-01 -1.08502172e-01 -8.64886492e-02 -7.27375299e-02
  7.95443580e-02  3.25722471e-02 -5.71540184e-02  4.56403531e-02
 -1.02007046e-01 -2.74291962e-01 -2.71896012e-02 -9.06667709e-02
  6.87685758e-02 -1.68244854e-01  4.47075032e-02 -7.72135239e-03
 -1.82405889e-01 -2.29282603e-02 -3.86554599e-02  7.77216181e-02
  2.41510812e-02 -3.14239934e-02  2.43278295e-01 -8.03990588e-02
 -1.20321967e-01  5.52164800e-02  1.37123466e-01  3.29041839e-01
  1.77879244e-01  2.59782206e-02 -2.12481804e-02 -3.25924531e-02
  1.77191615e-01 -3.04283679e-01  7.43463188e-02  1.53365105e-01
  2.10454360e-01  1.05446011e-01  5.23726530e-02 -1.41478658e-01
  4.07563746e-02  1.50831386e-01 -2.10602462e-01  1.22215495e-01
 -8.66331253e-03 -1.02852404e-01 -1.62684396e-02 -5.89590557e-02
  1.67707175e-01  6.42900765e-02 -1.02835573e-01 -1.56543180e-01
  1.30098298e-01 -1.16217032e-01 -4.17241752e-02  1.21237829e-01
 -3.53279598e-02 -1.65209249e-01 -2.89460033e-01  1.46746069e-01
  4.22505975e-01  1.90668061e-01 -2.66503245e-01  5.18643111e-02
 -6.12034909e-02 -8.97747129e-02  6.45699054e-02  5.87819666e-02
 -1.25644714e-01 -5.87982424e-02 -1.67216405e-01  5.32060638e-02
  1.81982100e-01  3.91125046e-02 -7.64294527e-03  1.92574412e-01
  1.22257724e-01  3.66043299e-04  2.98374351e-02  1.15110695e-01
 -1.23713672e-01  2.65553361e-03 -9.80694965e-02 -2.05780640e-02
  9.35882479e-02 -6.44774362e-02  2.58105323e-02  7.82756582e-02
 -1.33793086e-01  1.97472468e-01 -8.66501033e-03  2.18802691e-03
 -3.70826609e-02 -1.76606700e-02 -6.13039583e-02  5.78981414e-02
  1.60772577e-01 -2.66372472e-01  2.07413465e-01  1.10970855e-01
 -7.24671036e-02  1.46901727e-01  9.62609276e-02  1.19291671e-01
 -8.17787834e-03 -2.18008049e-02 -1.14132717e-01 -1.08809367e-01
  1.22451521e-01 -7.80074522e-02  1.10110216e-01  6.07987121e-02]"
bella Hadid,"[-1.34567067e-01  7.77441263e-02  1.17606379e-01 -1.08228438e-01
 -1.49876922e-01  3.31716351e-02 -4.19249572e-02 -5.10803498e-02
  1.86576888e-01 -8.27503651e-02  2.51934439e-01 -1.41613837e-02
 -2.19988093e-01  2.99954675e-02 -4.80706021e-02  1.78569153e-01
 -1.92308694e-01 -2.32568428e-01 -2.91699637e-02 -4.99704070e-02
 -4.48160060e-03  2.12832950e-02 -2.61372309e-02  1.10348351e-01
 -1.67550191e-01 -2.83392608e-01  1.80171803e-02  6.41198680e-02
  8.47824961e-02 -1.39361680e-01  1.18410438e-02  8.32649544e-02
 -2.63761818e-01 -1.39219686e-04  6.29604906e-02  2.82156318e-01
 -7.45328739e-02 -1.41369402e-01  1.76568642e-01  3.88851203e-03
 -2.86170989e-01 -1.62517279e-02  9.26441327e-02  3.01294386e-01
  2.44926199e-01 -1.72286350e-02 -5.59312738e-02 -1.06035776e-01
  1.46054775e-01 -3.31873238e-01  7.87457079e-02  1.85807288e-01
  1.02741756e-01  2.28685662e-02  2.13760659e-02 -1.86367601e-01
  4.26336937e-03  1.35596439e-01 -1.52598962e-01 -2.70907544e-02
  6.85076714e-02 -1.10360868e-01  4.56675217e-02 -1.75945848e-01
  1.81264624e-01  8.60845894e-02 -1.36520103e-01 -1.56711563e-01
  1.89376175e-01 -1.47984326e-01 -1.04159608e-01  7.40881041e-02
 -2.90444456e-02 -1.47865057e-01 -3.11256737e-01 -2.21480243e-03
  3.84322345e-01  7.65147284e-02 -1.83285922e-01  1.39493689e-01
  3.65321711e-02 -5.41833192e-02 -4.60919254e-02  2.17819631e-01
 -5.60599528e-02  6.10582866e-02 -1.17526442e-01  1.65585410e-02
  2.37542599e-01  2.40449347e-02  4.20229286e-02  1.99596673e-01
  7.39321159e-03 -7.53737008e-03  1.16849273e-01  1.06455475e-01
 -1.54741406e-01  3.73769738e-02 -2.07955226e-01 -5.38353547e-02
 -5.66047803e-02 -4.40294519e-02  1.54470326e-04  1.33757249e-01
 -2.01272637e-01  2.38282382e-01 -5.80158550e-04 -1.41252354e-02
  4.06750105e-02 -2.75099128e-02 -1.88512914e-02 -7.35408515e-02
  1.36768326e-01 -3.09194952e-01  1.41308397e-01  1.30671486e-01
  5.64551093e-02  1.79567561e-01  1.44498304e-01  1.25079170e-01
  5.83194681e-02  2.21089609e-02 -1.50189534e-01 -6.20342568e-02
 -3.31805758e-02 -1.47171333e-01  5.95385209e-02  1.00470521e-01]"
Bella Hadid,"[-1.74643129e-01  8.29584450e-02  1.48789555e-01 -1.25101343e-01
 -1.45181030e-01 -1.54301301e-02 -5.33959195e-02 -1.60518691e-01
  1.48319483e-01 -6.87735155e-02  2.72420079e-01 -5.50661236e-02
 -2.41239890e-01 -1.45713100e-04 -3.95984612e-02  1.72868550e-01
 -1.25117883e-01 -2.24087983e-01 -6.60014302e-02 -6.39985129e-03
  1.58890933e-02 -2.42696125e-02 -1.54284630e-02  9.88952145e-02
 -9.18710679e-02 -3.12956989e-01 -7.32827485e-02  5.34295551e-02
  3.34721953e-02 -1.64172247e-01 -3.29119042e-02  1.41004682e-01
 -2.68493593e-01 -4.91273180e-02 -4.01128829e-03  2.26358175e-01
 -3.18272188e-02 -1.37922421e-01  1.15360476e-01 -1.46325175e-02
 -2.59606332e-01 -2.38847379e-02  9.34633017e-02  2.51632929e-01
  2.33770564e-01 -2.88330261e-02 -2.41298750e-02 -8.68322030e-02
  4.11647744e-02 -2.65639335e-01  6.77014291e-02  1.49709359e-01
  1.21027499e-01  3.36670056e-02  5.62579855e-02 -2.17023760e-01
  8.95576179e-03  7.04074651e-02 -1.06209300e-01  8.71542376e-04
  5.67098409e-02 -1.64333120e-01  2.16889177e-02 -1.80419594e-01
  1.97962716e-01  1.25114247e-01 -7.34384209e-02 -1.31352693e-01
  1.91679955e-01 -6.06285036e-02 -1.01691768e-01  2.63578370e-02
 -1.40412360e-01 -1.28113240e-01 -3.50485057e-01 -9.72041860e-04
  3.33903730e-01  6.47054464e-02 -2.33473271e-01  1.38948962e-01
 -2.05720291e-02 -2.43441593e-02 -7.41981789e-02  1.56939372e-01
 -4.15254831e-02  8.51830542e-02 -1.31658763e-01  4.90151122e-02
  1.99863926e-01 -8.33010301e-03  3.35392803e-02  2.10308567e-01
 -3.79517153e-02 -9.36573464e-03  1.10516541e-01  7.86322206e-02
 -9.04103518e-02 -6.66870596e-03 -2.11991489e-01 -5.98258078e-02
 -2.42558345e-02 -5.38118035e-02 -2.78523937e-02  1.43666044e-01
 -1.87942490e-01  1.28735557e-01  2.97023989e-02 -8.81949440e-04
 -1.59422681e-02 -5.00607565e-02 -1.96049251e-02 -6.51821569e-02
  1.32797182e-01 -2.64144927e-01  1.67937130e-01  1.67574525e-01
  3.37406918e-02  1.34573072e-01  1.07702948e-01  1.20395243e-01
  3.05618346e-02  9.29247681e-03 -1.06283836e-01 -2.33879648e-02
  4.91249599e-02 -7.28082582e-02  1.84144564e-02  1.40852347e-01]"
Elon Musk,"[-0.02216063  0.06367394  0.147248   -0.05731232 -0.11079002 -0.01828328
 -0.01302287 -0.101906    0.14370283 -0.00553803  0.22394963 -0.02478668
 -0.23578213 -0.0268711   0.02230952  0.03853843 -0.10657437 -0.10547611
 -0.05793372 -0.07834841  0.09970811  0.04244134  0.0254863  -0.04860732
 -0.15090232 -0.25740623 -0.12748021 -0.04917515  0.09199834 -0.0267
  0.04539308 -0.01065951 -0.19407548 -0.11549971  0.06330234  0.03496636
 -0.11636955 -0.07973041  0.14885207 -0.04377867 -0.18781264 -0.01811263
  0.04908675  0.16665745  0.11929712  0.09432283  0.07026918 -0.10067098
  0.02711644 -0.19615243  0.14210798  0.18812618  0.07807209  0.06084494
  0.10417478 -0.22081971  0.01375851  0.25587234 -0.15457113  0.14305195
  0.10410313 -0.04708683 -0.03002812 -0.01098126  0.14908443  0.07926764
 -0.08786535 -0.21410535  0.18945704 -0.04388513 -0.07516533  0.16221759
 -0.13485941 -0.1610062  -0.20486259  0.02773369  0.49602443 -0.0153352
 -0.17466542 -0.01080297 -0.1240376   0.03045993  0.068914   -0.00210195
 -0.04564261 -0.06110709 -0.1318908  -0.01930864  0.1711383  -0.04186873
 -0.03380742  0.18863326  0.00307497 -0.01244831  0.03782996  0.08357427
 -0.09571227  0.07844068 -0.09790111 -0.08546086  0.12254012 -0.11506222
 -0.02743501  0.13562766 -0.21611519  0.18918379  0.03560415  0.01591531
  0.02719613 -0.06223598 -0.06109995  0.01806061  0.20418794 -0.33293062
  0.22991261  0.18280737  0.00950791  0.12564963  0.0478543   0.06744391
  0.05660312 -0.07196024 -0.22522432 -0.06952179 -0.03077509 -0.04398791
 -0.02457697  0.06509807]"
Messi,"[-1.10873945e-01  1.23198837e-01  4.47756313e-02 -5.99230006e-02
 -1.18704863e-01  1.07918136e-01 -2.80616228e-02 -7.87864923e-02
  1.22549631e-01 -9.89769492e-03  2.02420965e-01  3.10719274e-02
 -3.02284837e-01  3.19395401e-02 -7.27672949e-02  1.23114891e-01
 -1.34746552e-01 -1.94099266e-02 -1.60122275e-01 -1.57697946e-01
 -6.73694313e-02  1.29362822e-01  1.14934538e-02  2.24813446e-02
 -7.02018440e-02 -2.39926368e-01  1.37624778e-02 -1.31345123e-01
  1.15905218e-01 -1.02291048e-01 -2.93791126e-02  3.30753736e-02
 -1.30174592e-01 -2.70920135e-02  2.08811834e-04  1.93741284e-02
 -6.11617081e-02 -1.12012297e-01  2.34255776e-01 -3.79981995e-02
 -5.79639450e-02  4.95654680e-02  7.42516965e-02  2.70556390e-01
  1.22828469e-01  9.59052332e-03  6.42968565e-02 -3.47437449e-02
  1.71957672e-01 -2.81983405e-01  9.80511457e-02  9.79430079e-02
  1.48780182e-01  8.82526860e-02  2.48860307e-02 -2.60557473e-01
 -4.83926721e-02  1.14557236e-01 -1.43198580e-01  1.52879685e-01
  8.58732089e-02 -2.43577026e-02 -8.14268738e-02 -1.06948748e-01
  2.21288636e-01  1.78200319e-01 -1.29413396e-01 -1.60287961e-01
  1.30905598e-01 -1.46430477e-01 -5.71094938e-02 -6.43795030e-03
 -1.14051878e-01 -9.60531905e-02 -1.93574458e-01  1.21851586e-01
  2.76239961e-01  1.69809401e-01 -1.91953361e-01 -3.69925648e-02
 -6.92104399e-02  1.97586417e-03  5.76732098e-04  3.27434987e-02
 -1.15069509e-01 -8.80264342e-02 -3.26341875e-02 -1.14947129e-02
  2.18201011e-01 -2.36168336e-02 -3.44485380e-02  2.42655694e-01
  7.03963041e-02 -2.52688620e-02 -1.73495561e-02  4.74406704e-02
 -1.49477199e-01 -2.72494052e-02 -5.91532364e-02  7.75037631e-02
  5.40008843e-02 -1.30268246e-01  6.85992986e-02  1.06981799e-01
 -1.78682968e-01  2.35640943e-01 -6.64786473e-02  3.99771444e-02
  8.31235200e-02  4.35567647e-02 -9.13857743e-02 -1.51339360e-02
  2.39651263e-01 -1.81070447e-01  2.74664879e-01  1.31126076e-01
  6.39583990e-02  1.45940229e-01  8.75029713e-02  1.41949609e-01
  4.34182659e-02  1.14982702e-01 -1.53929591e-01 -1.71206847e-01
  6.70151040e-02 -9.10000056e-02 -1.50476601e-02  1.11280628e-01]"
Jim Carrey,"[-4.92760912e-02  1.57305554e-01  6.44233497e-03 -4.15036865e-02
 -6.40076548e-02  1.74873769e-02 -1.00911386e-01 -1.09032296e-01
  1.52450368e-01 -3.25305872e-02  1.88871130e-01  4.22574282e-02
 -2.14011610e-01 -3.82069731e-04  4.06299904e-03  1.00079224e-01
 -1.43481880e-01 -4.19956446e-02 -1.39798313e-01 -7.41041452e-02
  5.15401140e-02  5.50951809e-02  8.64659622e-02  9.65754911e-02
 -1.87873021e-01 -2.41113260e-01 -1.16210811e-01 -7.18649626e-02
  6.98967353e-02 -1.75650775e-01 -4.79291752e-02 -1.00377463e-01
 -2.36708164e-01 -8.08035582e-02  4.41983193e-02  5.47101572e-02
 -1.07100420e-01 -1.57115504e-01  1.90519422e-01  1.07734695e-01
 -1.49913192e-01  1.74616501e-02  1.25551810e-02  2.34586164e-01
  1.81605577e-01  3.69036160e-02 -3.19401398e-02 -7.61965215e-02
  1.12385564e-01 -1.83022246e-01  1.41699463e-01  1.10920027e-01
  1.17192216e-01  1.15077481e-01  7.70093277e-02 -1.62785023e-01
  1.05708644e-01  2.01203346e-01 -2.05222011e-01  1.59554277e-02
  2.38450635e-02 -9.75461751e-02 -5.24011739e-02  5.25171719e-02
  1.37587830e-01  1.61579043e-01 -5.11240922e-02 -1.52798697e-01
  9.81168002e-02 -5.21003492e-02 -4.50674109e-02  1.04264259e-01
 -5.95433004e-02 -1.86142802e-01 -2.45750830e-01  2.10133977e-02
  3.98769766e-01  1.42278045e-01 -2.43315011e-01  1.91675918e-03
 -1.01384357e-01 -1.16392374e-02  1.20233133e-01  6.81481417e-03
 -7.23311156e-02 -4.96484414e-02 -7.56657794e-02  6.44391850e-02
  1.59779444e-01 -8.31049029e-03 -8.40642974e-02  2.21359387e-01
  1.68231633e-02 -1.73129002e-03  8.57550129e-02  4.90578339e-02
 -1.31897077e-01  2.03708708e-02 -7.89149255e-02 -8.27760622e-02
  1.43168092e-01 -4.20864150e-02 -3.04087438e-02  5.97288571e-02
 -2.68617779e-01  1.65766791e-01  1.34674191e-01 -7.86767676e-02
  6.94956854e-02 -2.69575417e-02 -1.90444455e-01  2.58121383e-03
  1.61083966e-01 -3.93936157e-01  2.91091830e-01  1.85448140e-01
 -2.61065029e-02  1.47458032e-01  8.34552199e-02  2.91575193e-02
  3.59405652e-02 -6.72257543e-02 -1.27226129e-01 -1.05802007e-01
  1.06561661e-01  1.39318574e-02  8.30149725e-02 -7.50414189e-03]"